Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawLeft,JawRight,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthLeft,MouthRight,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:20,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.368200,0.000000,0.293867,0.271500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000818,0.000818,0.004800,0.000059,0.008300,0.000000,0.000059,0.000059,0.030567,0.030567,0.024700,0.024700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:21,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.364200,0.000000,0.326300,0.302750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000824,0.000824,0.007762,0.000062,0.013425,0.000000,0.000062,0.000062,0.029350,0.029350,0.021250,0.021250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:22,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360200,0.000000,0.358733,0.334000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000829,0.000829,0.010725,0.000065,0.018550,0.000000,0.000065,0.000065,0.028133,0.028133,0.017800,0.017800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:23,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.365900,0.000000,0.391167,0.365250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000835,0.000835,0.013688,0.000068,0.023675,0.000000,0.000068,0.000068,0.026917,0.026917,0.019200,0.019200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:24,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.371600,0.000000,0.423600,0.396500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000841,0.000841,0.016650,0.000071,0.028800,0.000000,0.000071,0.000071,0.025700,0.025700,0.020600,0.020600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:25,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.354250,0.000000,0.413700,0.408700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000847,0.000847,0.019613,0.000074,0.033925,0.000000,0.000074,0.000074,0.025200,0.025200,0.022000,0.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:26,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.336900,0.000000,0.403800,0.420900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000853,0.000853,0.022575,0.000076,0.039050,0.000000,0.000076,0.000076,0.024700,0.024700,0.023400,0.023400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:27,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.322650,0.000000,0.393900,0.433100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000859,0.000859,0.025538,0.000079,0.044175,0.000000,0.000079,0.000079,0.024200,0.024200,0.026350,0.026350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:28,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308400,0.000000,0.384000,0.445300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000865,0.000865,0.028500,0.000082,0.049300,0.000000,0.000082,0.000082,0.023700,0.023700,0.029300,0.029300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:29,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.302525,0.000000,0.356400,0.414725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000871,0.000871,0.040075,0.000085,0.069350,0.000000,0.000085,0.000085,0.024275,0.024275,0.040850,0.040850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:30,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.296650,0.000000,0.328800,0.384150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000876,0.000876,0.051650,0.000088,0.089400,0.000000,0.000088,0.000088,0.024850,0.024850,0.052400,0.052400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:31,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.290775,0.000000,0.301200,0.353575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000882,0.000882,0.063225,0.000091,0.109450,0.000000,0.000091,0.000091,0.025425,0.025425,0.063950,0.063950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
